date,vehicle_number,mileage,failure_category,failure_name,symptoms,cost,repair_duration,daily_load
2021-05-01,BK4570CK,850000,Engine,Oil Leak,Oil spots,576.34,7,636
2021-05-01,BK2218ET,400000,Electrical,Battery Failure,Engine won’t start,134.55,1,636
2021-05-01,BK2218ET,400000,Electrical,Alternator Failure,Battery warning light,258.7,1,636
2021-05-01,BK9057HC,550000,Brakes,Brake Pad Wear,Squeaking noise,252.0,1,1434
2021-05-01,BK9057HC,550000,Engine,Turbo Failure,Whistling noise,2418.13,9,1434
2021-05-01,BK2218ET,400000,Brakes,Brake Pad Wear,Squeaking noise,167.08,1,636
2021-05-01,BK2218ET,400000,Axle,Axle Failure,Vehicle stops,2377.23,15,636
2021-05-01,BK4570CK,850000,Suspension,Ball Joint Failure,Clunking noise,476.3,3,636
2021-05-02,BK2218ET,400737,Engine,Turbo Failure,Whistling noise,2711.01,7,940
2021-05-02,BK4570CK,850727,Suspension,Ball Joint Failure,Clunking noise,463.8,3,763
2021-05-02,BK9057HC,550745,Axle,Differential Failure,Grinding noise,1428.08,10,720
2021-05-02,BK9057HC,550745,Transmission,Clutch Failure,Difficulty shifting,2430.7,4,720
2021-05-02,BK9057HC,550745,Brakes,Brake Fluid Leak,Soft brake pedal,258.27,4,720
2021-05-02,BK2218ET,400737,Axle,Differential Failure,Grinding noise,1601.08,11,940
2021-05-02,BK4570CK,850727,Engine,Engine Failure,Engine knocking,4716.98,17,763
2021-05-03,BK2218ET,401474,Engine,Turbo Failure,Whistling noise,2329.97,11,1314
2021-05-03,BK2218ET,401474,Engine,Oil Leak,Oil spots,1441.89,4,1314
2021-05-03,BK4570CK,851454,Electrical,Alternator Failure,Battery warning light,497.12,3,1473
2021-05-03,BK9057HC,551490,Electrical,Alternator Failure,Battery warning light,356.15,2,760
2021-05-03,BK9057HC,551490,Brakes,Brake Line Failure,Brake warning light,533.9,3,760
2021-05-03,BK9057HC,551490,Axle,Differential Failure,Grinding noise,1278.29,12,760
2021-05-03,BK4570CK,851454,Engine,Radiator Failure,Overheating,1306.91,6,1473
2021-05-04,BK9057HC,552235,Engine,Radiator Failure,Overheating,1631.88,9,685
2021-05-04,BK9057HC,552235,Electrical,Alternator Failure,Battery warning light,464.54,1,685
